epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,902.587,1.60566,2.53952,1.6473,0.2816,0.28018,0.21154,0.0988,1.91004,3.21755,2.05915,0.000554368,0.000554368,0.000554368
2,1871.89,1.65186,2.11657,1.67825,0.33948,0.34528,0.28953,0.14902,1.81836,2.81317,1.98359,0.00107864,0.00107864,0.00107864
3,2898.97,1.6553,1.99259,1.69246,0.33667,0.36417,0.29021,0.14376,1.75163,2.49918,1.85768,0.00157147,0.00157147,0.00157147
4,4121.09,1.62072,1.85399,1.66153,0.36744,0.41595,0.36553,0.19465,1.72022,2.06931,1.82712,0.00152554,0.00152554,0.00152554
5,5327.17,1.56688,1.77411,1.61442,0.40637,0.48727,0.45071,0.22847,1.64883,2.05361,1.76303,0.00147839,0.00147839,0.00147839
6,6509.23,1.54142,1.6889,1.58513,0.62091,0.5155,0.53865,0.27225,1.60389,1.79186,1.73461,0.00143124,0.00143124,0.00143124
7,7687.99,1.50251,1.64001,1.56469,0.5551,0.50138,0.51827,0.27776,1.61962,1.74978,1.72691,0.00138409,0.00138409,0.00138409
8,9058.77,1.46895,1.57221,1.53031,0.53359,0.50072,0.51128,0.26541,1.60025,1.72466,1.73717,0.00133693,0.00133693,0.00133693
9,10274.7,1.434,1.52759,1.51498,0.61283,0.50357,0.5544,0.3046,1.5757,1.63819,1.68788,0.00128978,0.00128978,0.00128978
10,11470.8,1.42208,1.48723,1.52182,0.62949,0.52304,0.56953,0.29695,1.56961,1.61568,1.69589,0.00124263,0.00124263,0.00124263
11,12673.7,1.41037,1.44732,1.49777,0.74327,0.52748,0.62446,0.34776,1.531,1.5286,1.63324,0.00119548,0.00119548,0.00119548
12,13858.3,1.39073,1.40089,1.4845,0.6735,0.54617,0.61714,0.33012,1.58181,1.58507,1.6711,0.00114832,0.00114832,0.00114832
13,15061.2,1.37547,1.38761,1.47415,0.70262,0.54891,0.62362,0.34454,1.53621,1.52203,1.66921,0.00110117,0.00110117,0.00110117
14,16489,1.35266,1.35554,1.45733,0.65927,0.57775,0.63825,0.34724,1.5094,1.47162,1.61415,0.00105402,0.00105402,0.00105402
15,18030.9,1.32926,1.29562,1.43963,0.70251,0.55647,0.63766,0.36007,1.48464,1.38936,1.61018,0.00100687,0.00100687,0.00100687
16,19519.9,1.32861,1.30514,1.44238,0.67312,0.57129,0.64152,0.35897,1.50543,1.40155,1.60903,0.000959716,0.000959716,0.000959716
17,21935.5,1.31149,1.2626,1.42751,0.73144,0.56842,0.64961,0.37471,1.45444,1.40853,1.55991,0.000912563,0.000912563,0.000912563
18,23124.4,1.28188,1.23838,1.40966,0.68999,0.57318,0.6394,0.3459,1.45519,1.36239,1.55911,0.000865411,0.000865411,0.000865411
19,24400.8,1.2513,1.18157,1.38125,0.66766,0.6008,0.66095,0.37371,1.45311,1.43546,1.56227,0.000818259,0.000818259,0.000818259
20,25695.8,1.25772,1.16588,1.38603,0.73653,0.63128,0.68379,0.39539,1.42652,1.25575,1.5424,0.000771107,0.000771107,0.000771107
21,26721.2,1.22522,1.12671,1.36645,0.69213,0.62115,0.67409,0.39966,1.42423,1.29284,1.5397,0.000723954,0.000723954,0.000723954
22,27759.4,1.22429,1.12398,1.36863,0.77064,0.59693,0.70533,0.40994,1.42561,1.2899,1.53584,0.000676802,0.000676802,0.000676802
23,28754.3,1.21225,1.0983,1.35977,0.71118,0.6239,0.70249,0.41023,1.39611,1.2369,1.51876,0.00062965,0.00062965,0.00062965
24,29743.4,1.19231,1.07624,1.33932,0.729,0.63451,0.70896,0.40861,1.4122,1.22982,1.53086,0.000582497,0.000582497,0.000582497
25,30693.5,1.18724,1.05054,1.33946,0.70828,0.62686,0.69201,0.41281,1.39399,1.20786,1.51327,0.000535345,0.000535345,0.000535345
26,32457.5,1.11352,0.94221,1.30428,0.77458,0.62694,0.71463,0.42965,1.37558,1.16093,1.49107,0.000488193,0.000488193,0.000488193
27,33586.1,1.08546,0.89784,1.28199,0.76578,0.61307,0.71064,0.42735,1.37797,1.19092,1.50267,0.000441041,0.000441041,0.000441041
28,34764.9,1.06742,0.86112,1.26944,0.77746,0.6716,0.72956,0.43997,1.34531,1.13021,1.478,0.000393888,0.000393888,0.000393888
29,37390.3,1.04514,0.8307,1.25356,0.80703,0.63532,0.72648,0.43707,1.34461,1.14266,1.48218,0.000346736,0.000346736,0.000346736
30,38344.4,1.02617,0.79546,1.24049,0.7873,0.65107,0.73606,0.44842,1.33906,1.10226,1.47796,0.000299584,0.000299584,0.000299584
31,39294.1,1.00411,0.77257,1.22256,0.77912,0.65161,0.73179,0.44743,1.32139,1.11319,1.46493,0.000252431,0.000252431,0.000252431
32,40256,0.98839,0.7456,1.2159,0.79201,0.66525,0.74293,0.45529,1.3277,1.07864,1.46735,0.000205279,0.000205279,0.000205279
33,41216.8,0.9709,0.73535,1.20458,0.77187,0.69321,0.75123,0.45889,1.31285,1.0648,1.47303,0.000158127,0.000158127,0.000158127
34,42307.8,0.9571,0.72184,1.19048,0.80394,0.66464,0.74686,0.4601,1.3045,1.05608,1.44721,0.000110975,0.000110975,0.000110975
35,43248.7,0.94729,0.70759,1.18627,0.80907,0.6802,0.75673,0.46519,1.29131,1.04333,1.44399,6.38223e-05,6.38223e-05,6.38223e-05
